object			
volume	61157	Bégin	1823
pb	1	0011	
entry	A	0	
orth	A		
entry	Aabam	0	
orth	Aabam		
entry	Aabzhil	0	
orth	Aabzhil		
entry	Abach	0	
orth	Abach		
entry	Abaissement	0	
orth	Abaissement		
entry	Abaisseur	0	
orth	Abaisseur		
entry	Abajoue	0	
orth	Abajoue		
entry	Abaptista, Abaptiston	0	
orth	Abaptista		
orth	Abaptiston		
entry	Abarnahas	1	
orth	Abarnahas		
pb	2	0012	
entry	Abarticulation	0	
orth	Abarticulation		
entry	Abatage	0	
orth	Abatage		
entry	Abatardir (s’)	0	
orth	Abatardir (s’)		
entry	Abatardissement	0	
orth	Abatardissement		
entry	Abattement	0	
orth	Abattement		
entry	Abattre	0	
orth	Abattre		
entry	Abbecourt	0	
orth	Abbecourt		
entry	Abbeville	0	
orth	Abbeville		
entry	Abcéder	0	
orth	Abcéder		
entry	Abcès	0	
orth	Abcès		
entry	Abdomen	0	
orth	Abdomen		
entry	Abdominal	0	
orth	Abdominal		
entry	Abdominoscopie	0	
orth	Abdominoscopie		
entry	Abducteur	1	
orth	Abducteur		
pb	3	0013	
entry	Abduction	0	
orth	Abduction		
entry	Abeille	0	
orth	Abeille		
entry	Abein	0	
orth	Abein		
entry	Abelmosch	0	
orth	Abelmosch		
entry	Abensberg	0	
orth	Abensberg		
entry	Aberration	0	
orth	Aberration		
entry	Ab-irritation	0	
orth	Ab-irritation		
entry	Ablactation	0	
orth	Ablactation		
entry	Ablation	0	
orth	Ablation		
entry	Abluant	0	
orth	Abluant		
entry	Ablution	0	
orth	Ablution		
entry	Abolition	0	
orth	Abolition		
entry	Abomasum, Abomasus	0	
orth	Abomasum		
orth	Abomasus		
entry	Abortif	0	
orth	Abortif		
entry	Abouchement	0	
orth	Abouchement		
entry	Aboutir	0	
orth	Aboutir		
entry	Aboutissement	0	
orth	Aboutissement		
entry	Abrabax, Abraxas	0	
orth	Abrabax		
orth	Abraxas		
entry	Abracadabra	1	
orth	Abracadabra		
pb	4	0014	
entry	Abracalan	0	
orth	Abracalan		
entry	Abrasion	0	
orth	Abrasion		
entry	Abréviation	0	
orth	Abréviation		
entry	Abreuvé	0	
orth	Abreuvé		
entry	Abricot	0	
orth	Abricot		
entry	Abrodiète	0	
orth	Abrodiète		
entry	Abrotanum	0	
orth	Abrotanum		
entry	Abruption	0	
orth	Abruption		
entry	Abrus	0	
orth	Abrus		
entry	Abscès	0	
orth	Abscès		
entry	Abscission	0	
orth	Abscission		
