object			
volume	37019	Capuron	1806
entry	Esprit de nitre	0	
orth	Esprit de nitre		
entry	Esprit de nitre fumant	0	
orth	Esprit de nitre fumant		
entry	Esprit de nitre dulcifié	0	
orth	Esprit de nitre dulcifié		
entry	Esprit de sel	0	
orth	Esprit de sel		
entry	Esprit de sel dulcifié	0	
orth	Esprit de sel dulcifié		
entry	Esprit de sel ammoniac	0	
orth	Esprit de sel ammoniac		
entry	Esprit de sel vineux	0	
orth	Esprit de sel vineux		
entry	Esprit deVénus	0	
orth	Esprit deVénus		
entry	Esprit de vin	0	
orth	Esprit de vin		
entry	Esprit recteur	0	
orth	Esprit recteur		
entry	Esprit de sonfre	0	
orth	Esprit de sonfre		
entry	Esprit de vitriol	0	
orth	Esprit de vitriol		
entry	Esprit acide	0	
orth	Esprit acide		
entry	Essence	0	
orth	Essence		
entry	Ether acéteux	0	
orth	Ether acéteux		
entry	Esprit volatil de sel ammoniac	0	
orth	Esprit volatil de sel ammoniac		
entry	Ether marin	0	
orth	Ether marin		
entry	Ether nitreux	0	
orth	Ether nitreux		
entry	Ether vitriolique	0	
orth	Ether vitriolique		
entry	Ethiops martial	0	
orth	Ethiops martial		
entry	Ethiops minéral	0	
orth	Ethiops minéral		
pb	449		
entry	Ethiops per se	0	
orth	Ethiops per se		
entry	Fécule des plantes	0	
orth	Fécule des plantes		
entry	Fer aéré	0	
orth	Fer aéré		
entry	Fleurs ammoniacales martiales	0	
orth	Fleurs ammoniacales martiales		
entry	Fleurs argentines de régule d'antimoine	0	
orth	Fleurs argentines de régule d'antimoine		
entry	Fleurs de benjoin	0	
orth	Fleurs de benjoin		
entry	Fleurs de soufre	0	
orth	Fleurs de soufre		
entry	Fleurs de zinc	0	
orth	Fleurs de zinc		
entry	Fluides aériformes, fluides élastiques	0	
orth	Fluides aériformes		
orth	fluides élastiques		
entry	Foie d’antimoine	0	
orth	Foie d’antimoine		
entry	Foie de soufre nlcalin volatil	0	
orth	Foie de soufre nlcalin volatil		
entry	Foie de soufre antimonié	0	
orth	Foie de soufre antimonié		
entry	Foie de soufre calcaire	0	
orth	Foie de soufre calcaire		
entry	Foies de soufre	0	
orth	Foies de soufre		
entry	Foies de soufre terreux	0	
orth	Foies de soufre terreux		
entry	Gaz acide crayeux	0	
orth	Gaz acide crayeux		
entry	Gaz hépatique	0	
orth	Gaz hépatique		
entry	Gaz inflammabie	0	
orth	Gaz inflammabie		
entry	Gaz inflammable charbonneux	0	
orth	Gaz inflammable charbonneux		
entry	Gaz inflammable phosphoré	0	
orth	Gaz inflammable phosphoré		
entry	Gaz inflammable sulfuré	0	
orth	Gaz inflammable sulfuré		
entry	Gaz méphitique	0	
orth	Gaz méphitique		
entry	Gilla vitrioli	0	
orth	Gilla vitrioli		
entry	Gluten de froment	0	
orth	Gluten de froment		
entry	Gypse	0	
orth	Gypse		
entry	Hépars	0	
orth	Hépars		
entry	Hépars alcalins	0	
orth	Hépars alcalins		
entry	Huile animale do Dippel	0	
orth	Huile animale do Dippel		
entry	Huile de tartre par défaillance	0	
orth	Huile de tartre par défaillance		
entry	Huilc de vitrioî	0	
orth	Huilc de vitrioî		
entry	Huile douce du vin	0	
orth	Huile douce du vin		
entry	Huiles empyreumatiques	0	
orth	Huiles empyreumatiques		
entry	Huiles éssentielles, huiles éthérées	0	
orth	Huiles éssentielles		
orth	huiles éthérées		
entry	Huiles grasses et siccatives	0	
orth	Huiles grasses et siccatives		
entry	Kali	0	
orth	Kali		
entry	Karabé	0	
orth	Karabé		
entry	Kermès minéral	0	
orth	Kermès minéral		
entry	Laine philosophique	0	
orth	Laine philosophique		
entry	Lait de chaux	0	
orth	Lait de chaux		
entry	Litharge	0	
orth	Litharge		
entry	Lessive des savonniers	0	
orth	Lessive des savonniers		
entry	Lilium de Paracelse	0	
orth	Lilium de Paracelse		
entry	Liqueur des cailloux	0	
orth	Liqueur des cailloux		
entry	Lixiva	0	
orth	Lixiva		
entry	Magistère de bismuth	0	
orth	Magistère de bismuth		
entry	Magistère de soufre	0	
orth	Magistère de soufre		
entry	Magnésie caustique	0	
orth	Magnésie caustique		
entry	Magnésie moyenne, magnésie effervescente, magnésie douce	0	
orth	Magnésie moyenne		
orth	magnésie effervescente		
orth	magnésie douce		
entry	Magnésie blanche, magnésie aérée dé’Bergmanu	0	
orth	Magnésie blanche		
orth	magnésie aérée dé’Bergmanu		
entry	Massicot	0	
orth	Massicot		
entry	Matierede la chaleur, matiére du feu	0	
orth	Matierede la chaleur		
orth	matiére du feu		
entry	Matiere perlée de Kerkringius	0	
orth	Matiere perlée de Kerkringius		
entry	Mephite ainmoniacal	0	
orth	Mephite ainmoniacal		
entry	Méphite calcaire	0	
orth	Méphite calcaire		
entry	Mephite de magnésic	0	
orth	Mephite de magnésic		
entry	Mephite de plomb	0	
orth	Mephite de plomb		
entry	Méphitede potasse	0	
orth	Méphitede potasse		
entry	Méphite de soude	0	
orth	Méphite de soude		
entry	Méphite martial	0	
orth	Méphite martial		
entry	Mercure doux	0	
orth	Mercure doux		
pb	450		
entry	Mercure précipite blanc	0	
orth	Mercure précipite blanc		
entry	Mucilage	0	
orth	Mucilage		
entry	Minium	0	
orth	Minium		
entry	Moufette atmosphérique	0	
orth	Moufette atmosphérique		
entry	Natron, natrum	0	
orth	Natron		
orth	natrum		
entry	Niliil albuin	0	
orth	Niliil albuin		
entry	Nitre	0	
orth	Nitre		
entry	Nitre cubique	0	
orth	Nitre cubique		
entry	Nitre d’argent	0	
orth	Nitre d’argent		
entry	Nitre mercuriel	0	
orth	Nitre mercuriel		
entry	Nitre prismatique	0	
orth	Nitre prismatique		
entry	Nitre fixé par lui-même	0	
orth	Nitre fixé par lui-même		
entry	Nitre lunaire	0	
orth	Nitre lunaire		
entry	Nitre quadrangulaire, nitre rhomboïdal	0	
orth	Nitre quadrangulaire		
orth	nitre rhomboïdal		
entry	Ocre	0	
orth	Ocre		
entry	Orpiment	0	
orth	Orpiment		
entry	Phosphore de Kunckel	0	
orth	Phosphore de Kunckel		
entry	Pierre à cautère	0	
orth	Pierre à cautère		
entry	Pierre calcaire	0	
orth	Pierre calcaire		
entry	Pierre infernale	0	
orth	Pierre infernale		
entry	Plàtre	0	
orth	Plàtre		
entry	Pompholix	0	
orth	Pompholix		
entry	Potasse du commerce	0	
orth	Potasse du commerce		
entry	Poudre d’algaroth	0	
orth	Poudre d’algaroth		
entry	Poudre du comte de Palme, poudre de Santinelli	0	
orth	Poudre du comte de Palme		
orth	poudre de Santinelli		
entry	Précipité blanc par l’acide muriatique	0	
orth	Précipité blanc par l’acide muriatique		
entry	Précipité jaune	0	
orth	Précipité jaune		
entry	Precipité perse	0	
orth	Precipité perse		
entry	Précipité rouge	0	
orth	Précipité rouge		
entry	Principe acidifiant	0	
orth	Principe acidifiant		
entry	Principe astringent	0	
orth	Principe astringent		
entry	Principe charbonneux	0	
orth	Principe charbonneux		
entry	Principe inflammable, principe de la chaleur	0	
orth	Principe inflammable		
orth	principe de la chaleur		
entry	Principe odorant	0	
orth	Principe odorant		
entry	Pyrite martiale	0	
orth	Pyrite martiale		
entry	Réalgar, réalgal	0	
orth	Réalgar		
orth	réalgal		
entry	Régalies	0	
orth	Régalies		
entry	Héguie	0	
orth	Héguie		
entry	Régule d’antimoine	0	
orth	Régule d’antimoine		
entry	Rouille de cuivre	0	
orth	Rouille de cuivre		
entry	Rouille de fer	0	
orth	Rouille de fer		
entry	Safran de mars	0	
orth	Safran de mars		
entry	Safran de mars apéritif	0	
orth	Safran de mars apéritif		
entry	Safran de mars astringent	0	
orth	Safran de mars astringent		
entry	Safran des métaux	0	
orth	Safran des métaux		
entry	Salmiac	0	
orth	Salmiac		
entry	Salpetre	0	
orth	Salpetre		
entry	Savon de Starkey	0	
orth	Savon de Starkey		
entry	Sel acéteux ammoniacal	0	
orth	Sel acéteux ammoniacal		
entry	Sel acéteux martial	0	
orth	Sel acéteux martial		
entry	Sel acéteux minéral	0	
orth	Sel acéteux minéral		
entry	Sel arnmoniac	0	
orth	Sel arnmoniac		
entry	Sel ammoniac lixe	0	
orth	Sel ammoniac lixe		
entry	Sel ammoniac crayeux	0	
orth	Sel ammoniac crayeux		
entry	Sel ammoniacal	0	
orth	Sel ammoniacal		
entry	Sel cathartique amer	0	
orth	Sel cathartique amer		
entry	Sel commun	0	
orth	Sel commun		
entry	Sel d’Angleterre	0	
orth	Sel d’Angleterre		
entry	Sel de cuisine	0	
orth	Sel de cuisine		
entry	Sel de Duobus	0	
orth	Sel de Duobus		
entry	Sel d'Epsom	0	
orth	Sel d'Epsom		
entry	Sel de Glauber	0	
orth	Sel de Glauber		
entry	Sel de lait	0	
orth	Sel de lait		
pb	451		
entry	Sel de saturne	0	
orth	Sel de saturne		
entry	Sel de Sedlitz	0	
orth	Sel de Sedlitz		
entry	Sel de Seignette	0	
orth	Sel de Seignette		
entry	Sel de Scheidschutz	0	
orth	Sel de Scheidschutz		
entry	Sel d’oseille	0	
orth	Sel d’oseille		
entry	Sel fébrifuge de Sylvius	0	
orth	Sel fébrifuge de Sylvius		
entry	Sel fîxe de tartre	0	
orth	Sel fîxe de tartre		
entry	Sel genune	0	
orth	Sel genune		
entry	Sel marin	0	
orth	Sel marin		
entry	Sel polychreste de Glaser	0	
orth	Sel polychreste de Glaser		
entry	Sel polychreste de la Rochclle	0	
orth	Sel polychreste de la Rochclle		
entry	Sel sédatif	0	
orth	Sel sédatif		
entry	Sél sulfureuxde Sthal	0	
orth	Sél sulfureuxde Sthal		
entry	Sel vegétal	0	
orth	Sel vegétal		
entry	Sel volatil d’Angleterre	0	
orth	Sel volatil d’Angleterre		
entry	Sel volatil de succin	0	
orth	Sel volatil de succin		
entry	Sélénite	0	
orth	Sélénite		
entry	Soude aérée	0	
orth	Soude aérée		
entry	Soude caustique	0	
orth	Soude caustique		
entry	Soude crayeuse, soude effervescente	0	
orth	Soude crayeuse		
orth	soude effervescente		
entry	Soufre doré d’antimoine	0	
orth	Soufre doré d’antimoine		
entry	Spiritus Sylvestris	0	
orth	Spiritus Sylvestris		
entry	Sublimé corrosif	0	
orth	Sublimé corrosif		
entry	Sublimé doux	0	
orth	Sublimé doux		
entry	Suc de citron	0	
orth	Suc de citron		
entry	Sucre candi	0	
orth	Sucre candi		
entry	Sucre desaturne	0	
orth	Sucre desaturne		
entry	Tartre	0	
orth	Tartre		
entry	Tartre ammoniacal	0	
orth	Tartre ammoniacal		
entry	Tartre antimonié	0	
orth	Tartre antimonié		
entry	Tartre chalybé	0	
orth	Tartre chalybé		
entry	Tartre crayeux	0	
orth	Tartre crayeux		
entry	Tartre cru	0	
orth	Tartre cru		
entry	Tartre de potasse	0	
orth	Tartre de potasse		
entry	Tartre de soude	0	
orth	Tartre de soude		
entry	Tartre émétique	0	
orth	Tartre émétique		
entry	Tartre martial soluble	0	
orth	Tartre martial soluble		
entry	Tartre méphitique	0	
orth	Tartre méphitique		
entry	Tartre soluble	0	
orth	Tartre soluble		
entry	Tartre stibié	0	
orth	Tartre stibié		
entry	Tartre tartarisé	0	
orth	Tartre tartarisé		
entry	Tartre vitriolé	0	
orth	Tartre vitriolé		
entry	Teinture âcre de potasse	0	
orth	Teinture âcre de potasse		
entry	Teinture spiritueuse	0	
orth	Teinture spiritueuse		
entry	Terre animale	0	
orth	Terre animale		
entry	Terre calcaire	0	
orth	Terre calcaire		
entry	Terre calcaire aérée, terre calcaire effervescente	0	
orth	Terre calcaire aérée		
orth	terre calcaire effervescente		
entry	Terre de Valun	0	
orth	Terre de Valun		
entry	Terre foliée crystallisable	0	
orth	Terre foliée crystallisable		
entry	Terre foliée du tartre	0	
orth	Terre foliée du tartre		
entry	Terre foliée mercurielle	0	
orth	Terre foliée mercurielle		
entry	Terre foliée minérale	0	
orth	Terre foliée minérale		
entry	Terre magnésienne	0	
orth	Terre magnésienne		
entry	Terrc muriate de Kirvvan	0	
orth	Terrc muriate de Kirvvan		
entry	Terre pesante	0	
orth	Terre pesante		
entry	Terre pesante aérée	0	
orth	Terre pesante aérée		
entry	Terre siliceuse	0	
orth	Terre siliceuse		
entry	Turbith minéral	0	
orth	Turbith minéral		
entry	Turbith nitreux	0	
orth	Turbith nitreux		
entry	Vénus	0	
orth	Vénus		
entry	Verdet, verdet distillé du commerce	0	
orth	Verdet		
orth	verdet distillé du commerce		
entry	Vert-de-gris du commerce	0	
orth	Vert-de-gris du commerce		
entry	Verre d'antimoine	0	
orth	Verre d'antimoine		
entry	Vif-argent	0	
orth	Vif-argent		
pb	452		
entry	Vinaigre desaturne	0	
orth	Vinaigre desaturne		
entry	Vinaigre distillé	0	
orth	Vinaigre distillé		
entry	Vinaigre radical	0	
orth	Vinaigre radical		
entry	Vitriol ammoniacal	0	
orth	Vitriol ammoniacal		
entry	Vitriol blanc	0	
orth	Vitriol blanc		
entry	Vitriol bleu	0	
orth	Vitriol bleu		
entry	Vitriol calcaire	0	
orth	Vitriol calcaire		
entry	Vitriol d'arsenic	0	
orth	Vitriol d'arsenic		
entry	Vitriol de Chypre	0	
orth	Vitriol de Chypre		
entry	Vitriol de cuiyre	0	
orth	Vitriol de cuiyre		
entry	Vitriol de fer	0	
orth	Vitriol de fer		
entry	Vitriol de Goslard	0	
orth	Vitriol de Goslard		
entry	Vitriol de mars	0	
orth	Vitriol de mars		
entry	Vitriol cle mercure	0	
orth	Vitriol cle mercure		
entry	Vitriol de plomb	0	
orth	Vitriol de plomb		
entry	Vitriol de potasse	0	
orth	Vitriol de potasse		
entry	Vitriol de soude	0	
orth	Vitriol de soude		
entry	Vitriol de Vénus	0	
orth	Vitriol de Vénus		
entry	Vitriol de zinc	0	
orth	Vitriol de zinc		
pb	453		
entry	Acétate	0	
orth	Acétate		
entry	Acétate de plomb	0	
orth	Acétate de plomb		
entry	Acétate de potasse	0	
orth	Acétate de potasse		
entry	Acétite ammoniaeal	0	
orth	Acétite ammoniaeal		
entry	Acéîite de cuivre	0	
orth	Acéîite de cuivre		
entry	Acétite de inercure	0	
orth	Acétite de inercure		
entry	Acétite de plomb	0	
orth	Acétite de plomb		
clique	Acétate de plomb		
entry	Acétite deplomb liquide	0	
orth	Acétite deplomb liquide		
entry	Acide	0	
orth	Acide		
entry	Acide acétique	0	
orth	Acide acétique		
entry	Acide arsenieux	0	
orth	Acide arsenieux		
entry	Acide benzoïqtie	0	
orth	Acide benzoïqtie		
entry	Acide benzoïque sublimé	0	
orth	Acide benzoïque sublimé		
entry	Acide boracique	0	
orth	Acide boracique		
entry	Acide citriqué	0	
orth	Acide citriqué		
entry	Acide malique	0	
orth	Acide malique		
entry	Acide muqueux	0	
orth	Acide muqueux		
entry	Acide muriatique	0	
orth	Acide muriatique		
entry	Acide muriatique oxygéné	0	
orth	Acide muriatique oxygéné		
entry	Acide nitrique	0	
orth	Acide nitrique		
entry	Acide nitro-muriatique	0	
orth	Acide nitro-muriatique		
entry	Acide oxalique	0	
orth	Acide oxalique		
entry	Acide phosphorique	0	
orth	Acide phosphorique		
entry	Acide sulfurique	0	
orth	Acide sulfurique		
entry	Acide tartareux	0	
orth	Acide tartareux		
entry	Adipocire de baleine	0	
orth	Adipocire de baleine		
entry	Alcohol	0	
orth	Alcohol		
entry	Alcohol de potasse	0	
orth	Alcohol de potasse		
entry	Alcohol nitrique	0	
orth	Alcohol nitrique		
entry	Alcohol	0	
orth	Alcohol		
entry	Ammoniaque	0	
orth	Ammoniaque		
entry	Antiluoine	0	
orth	Antiluoine		
entry	Boriite	0	
orth	Boriite		
entry	Borate sursaturé de soudc	0	
orth	Borate sursaturé de soudc		
entry	Calorique	1	
orth	Calorique		
pb	454		
entry	Carbonate	0	
orth	Carbonate		
entry	Carbonate ammoniacal, carbonate d’ammoniaque	0	
orth	Carbonate ammoniacal		
orth	carbonate d’ammoniaque		
entry	Carbonate de chaux	0	
orth	Carbonate de chaux		
entry	Carbonate de fcr	0	
orth	Carbonate de fcr		
entry	Carbonate de magnesie	0	
orth	Carbonate de magnesie		
entry	Carbonate de plomb	0	
orth	Carbonate de plomb		
entry	Carbonate de potasse crystallisé	0	
orth	Carbonate de potasse crystallisé		
entry	Carbonate neutre de potasse	0	
orth	Carbonate neutre de potasse		
entry	Carbonatc de potasse liquide	0	
orth	Carbonatc de potasse liquide		
entry	Carbonate de sonde	0	
orth	Carbonate de sonde		
entry	Carbone	0	
orth	Carbone		
entry	Chaux	0	
orth	Chaux		
entry	Chaux délayée dans l’eau	0	
orth	Chaux délayée dans l’eau		
entry	Chaux dissoute dans l’eau	0	
orth	Chaux dissoute dans l’eau		
entry	Dissolution de soude	0	
orth	Dissolution de soude		
entry	Eaux imprégnées d'acide carbonique	0	
orth	Eaux imprégnées d'acide carbonique		
entry	Eaux sulfurées, canx sulfureuses	0	
orth	Eaux sulfurées		
orth	canx sulfureuses		
entry	Etain pulvérisé	0	
orth	Etain pulvérisé		
entry	Ether acétique	0	
orth	Ether acétique		
entry	Etlier muriatique	0	
orth	Etlier muriatique		
entry	Ether nitrique	0	
orth	Ether nitrique		
entry	Ether sulturique	0	
orth	Ether sulturique		
entry	Ether sulfurique alcoholisé	0	
orth	Ether sulfurique alcoholisé		
entry	Fécules	0	
orth	Fécules		
entry	Fer pulvérisé	0	
orth	Fer pulvérisé		
entry	Gaz	0	
orth	Gaz		
entry	Gaz acide carbonique	0	
orth	Gaz acide carbonique		
foreign	spiritus Sylvestris	lat	
entry	Gaz acide muriatique oxygéné	0	
orth	Gaz acide muriatique oxygéné		
entry	Gaz acide muriatique	0	
orth	Gaz acide muriatique		
entry	Gaz acide sulfureux	0	
orth	Gaz acide sulfureux		
entry	Gaz ammoniacal	0	
orth	Gaz ammoniacal		
entry	Gaz acide sulfurique	0	
orth	Gaz acide sulfurique		
entry	Gaz azote, nitrogène	0	
orth	Gaz azote		
orth	nitrogène		
entry	Gaz hydrogène	0	
orth	Gaz hydrogène		
entry	Gaz liydrogène carboné	0	
orth	Gaz liydrogène carboné		
entry	Gaz hydrogène phosphoré	0	
orth	Gaz hydrogène phosphoré		
entry	Gaz hydrogène sulfuré	1	
orth	Gaz hydrogène sulfuré		
pb	455		
entry	Gaz oxygène	0	
orth	Gaz oxygène		
entry	Gélatine	0	
orth	Gélatine		
entry	Gluten, glutineux	0	
orth	Gluten		
orth	glutineux		
entry	rluile pyro-zoonique rectifiée	0	
orth	rluile pyro-zoonique rectifiée		
entry	Huile éthérée	0	
orth	Huile éthérée		
entry	Huiles douces	0	
orth	Huiles douces		
entry	Hniles fixes	0	
orth	Hniles fixes		
entry	Huiles volatiles	0	
orth	Huiles volatiles		
entry	Hydrogène	0	
orth	Hydrogène		
entry	Hydro-sulfure	0	
orth	Hydro-sulfure		
entry	Hydro-sulfure d’ammoniaque	0	
orth	Hydro-sulfure d’ammoniaque		
entry	Hydro-sulfure de potasse	0	
orth	Hydro-sulfure de potasse		
entry	Magnésie	0	
orth	Magnésie		
entry	Muqueux	0	
orth	Muqueux		
entry	Muriate	0	
orth	Muriate		
entry	Muriate d'ammoniaque	0	
orth	Muriate d'ammoniaque		
entry	Muriate d’ammoniaque ferrugineux	0	
orth	Muriate d’ammoniaque ferrugineux		
entry	Muriate d'antimoine	0	
orth	Muriate d'antimoine		
entry	Muriate de baryte	0	
orth	Muriate de baryte		
entry	Muriate de cliaux	0	
orth	Muriate de cliaux		
entry	Muriatede mercure ammoniacal	0	
orth	Muriatede mercure ammoniacal		
entry	Muriate de mercure doux	0	
orth	Muriate de mercure doux		
foreign	aquila alba	lat	
entry	Muriate de niercure suroxydé	0	
orth	Muriate de niercure suroxydé		
entry	Muriate de potasse	0	
orth	Muriate de potasse		
entry	Muriate suroxygéné de potasse	0	
orth	Muriate suroxygéné de potasse		
entry	Muriate de soude	0	
orth	Muriate de soude		
entry	Nitrate	0	
orth	Nitrate		
entry	Nitrate d'argent fondu	0	
orth	Nitrate d'argent fondu		
entry	Nitrate d’argent liquide	0	
orth	Nitrate d’argent liquide		
entry	Nitrate de mercure	0	
orth	Nitrate de mercure		
entry	Nitrate de mercure	0	
orth	Nitrate de mercure		
entry	Nitrate neutre de mercure	0	
orth	Nitrate neutre de mercure		
entry	Nitrate de potasse	0	
orth	Nitrate de potasse		
entry	Nitrate de soude	0	
orth	Nitrate de soude		
entry	Nitrate sursaturé de bismuth	0	
orth	Nitrate sursaturé de bismuth		
entry	Oxalate	0	
orth	Oxalate		
entry	Oxalate acidule de potasse	0	
orth	Oxalate acidule de potasse		
entry	Oxyde	0	
orth	Oxyde		
entry	Oxydes métalliques	0	
orth	Oxydes métalliques		
entry	Oxydes métalliques sublimés	0	
orth	Oxydes métalliques sublimés		
entry	Oxyde d'antimoine	0	
orth	Oxyde d'antimoine		
entry	Oxyde d’antimoine blanc sublimé	0	
orth	Oxyde d’antimoine blanc sublimé		
entry	Oxyde d’antimoine blanc par le nitre	0	
orth	Oxyde d’antimoine blanc par le nitre		
entry	Oxyde d'antimoine hydro-sulfuré brun	0	
orth	Oxyde d'antimoine hydro-sulfuré brun		
entry	Oxyde d'antimoine par les acides muriatique et nitrique	0	
orth	Oxyde d'antimoine par les acides muriatique et nitrique		
entry	Oxyde d'antimoine hydro-sulfuré orangé	0	
orth	Oxyde d'antimoine hydro-sulfuré orangé		
entry	Oxyde d’antimoine par l’acide muriatique	0	
orth	Oxyde d’antimoine par l’acide muriatique		
entry	Oxyde d’antimoine sulfuré	0	
orth	Oxyde d’antimoine sulfuré		
entry	Oxyde d’antimoine sulfuré demi-vitreux	1	
orth	Oxyde d’antimoine sulfuré demi-vitreux		
pb	456		
foreign	crocus metallorum	lat	
entry	Oxyde d’antimoine vitreux	0	
orth	Oxyde d’antimoine vitreux		
entry	Oxyde d’arsenic blanc	0	
orth	Oxyde d’arsenic blanc		
entry	Oxyde d’arsenic sublimé	0	
orth	Oxyde d’arsenic sublimé		
entry	Oxyde d’arsenic sulfuré jaune	0	
orth	Oxyde d’arsenic sulfuré jaune		
entry	Oxyde d'arsenic sulfuré rouge	0	
orth	Oxyde d'arsenic sulfuré rouge		
entry	Oxyde de bismuth blanc par l’acide nitrique	0	
orth	Oxyde de bismuth blanc par l’acide nitrique		
entry	Oxyde de cuivre vert	0	
orth	Oxyde de cuivre vert		
entry	Oxyde de fer	0	
orth	Oxyde de fer		
entry	Oxyde de fer jaune	0	
orth	Oxyde de fer jaune		
entry	Oxyde de fer noir	0	
orth	Oxyde de fer noir		
entry	Oxyde de fer rouge, Oxyde de fer brun	0	
orth	Oxyde de fer rouge		
orth	Oxyde de fer brun		
entry	Oxyde d’hydrogène	0	
orth	Oxyde d’hydrogène		
entry	Oxyde de mercure gommeux	0	
orth	Oxyde de mercure gommeux		
entry	Oxyde de mercure jaune par l’acide nitrique	0	
orth	Oxyde de mercure jaune par l’acide nitrique		
entry	Oxyde de mercure noir	0	
orth	Oxyde de mercure noir		
entry	Oxyde de mercure rouge	0	
orth	Oxyde de mercure rouge		
entry	Oxyde de mercure rouge par l’acide nitrique	0	
orth	Oxyde de mercure rouge par l’acide nitrique		
entry	Oxyde de mercure rouge par le feu	0	
orth	Oxyde de mercure rouge par le feu		
entry	Oxyde de mercure sucré	0	
orth	Oxyde de mercure sucré		
entry	Oxyde de mercure sulfuré noir	0	
orth	Oxyde de mercure sulfuré noir		
entry	Oxyde de mercure sulfuré rouge	0	
orth	Oxyde de mercure sulfuré rouge		
entry	Oxyde de plomb	0	
orth	Oxyde de plomb		
entry	Oxyde de plomb blanc par l’acide acéteux	0	
orth	Oxyde de plomb blanc par l’acide acéteux		
entry	Oxyde de plomb jaune	0	
orth	Oxyde de plomb jaune		
entry	Oxyde de plomb blanc demi-vitreux	0	
orth	Oxyde de plomb blanc demi-vitreux		
entry	Oxyde de plomb acéteux	0	
orth	Oxyde de plomb acéteux		
entry	Oxyde de plomb rouge	0	
orth	Oxyde de plomb rouge		
entry	Oxyde de zinc blanc	0	
orth	Oxyde de zinc blanc		
entry	Oxygène	0	
orth	Oxygène		
entry	Phosphate	0	
orth	Phosphate		
entry	Phosphate de chaux antimonié	0	
orth	Phosphate de chaux antimonié		
entry	Phosphate de chaux	0	
orth	Phosphate de chaux		
entry	Phosphate de soude et d’ammoniaque	0	
orth	Phosphate de soude et d’ammoniaque		
entry	Phosphate sursaturé de soude	0	
orth	Phosphate sursaturé de soude		
entry	Phosphore	0	
orth	Phosphore		
entry	Potasse	0	
orth	Potasse		
entry	Potasse fondue	0	
orth	Potasse fondue		
entry	Potasse silicée en liqueur	0	
orth	Potasse silicée en liqueur		
entry	Savon	0	
orth	Savon		
entry	Savon acide	0	
orth	Savon acide		
entry	Savon métallique	0	
orth	Savon métallique		
entry	Savon de soude	0	
orth	Savon de soude		
entry	Savon de potasse	0	
orth	Savon de potasse		
entry	Savonule	0	
orth	Savonule		
entry	Savonule acide	0	
orth	Savonule acide		
entry	Savonule métallique	0	
orth	Savonule métallique		
entry	Savonule de potasse	0	
orth	Savonule de potasse		
entry	Savonule de soude	0	
orth	Savonule de soude		
entry	Soude	0	
orth	Soude		
pb	457		
entry	Soufre purifié	0	
orth	Soufre purifié		
clique	Fleurs de soufre		
entry	Soufre sublimé	0	
orth	Soufre sublimé		
entry	Succin	0	
orth	Succin		
entry	Sucre crystallisé	0	
orth	Sucre crystallisé		
entry	Sucre de lait	0	
orth	Sucre de lait		
entry	Sulfate	0	
orth	Sulfate		
entry	Sulfate acidule d’alumine triple	0	
orth	Sulfate acidule d’alumine triple		
entry	Sulfate acidule d'alumine triple calciné	0	
orth	Sulfate acidule d'alumine triple calciné		
entry	Sulfate d’ammoniaque	0	
orth	Sulfate d’ammoniaque		
entry	Sulfate de chaux	0	
orth	Sulfate de chaux		
entry	Suifate de cuivre	0	
orth	Suifate de cuivre		
entry	Sulfate de cuivre ammoniacé	0	
orth	Sulfate de cuivre ammoniacé		
entry	Sulfate de fer vert	0	
orth	Sulfate de fer vert		
entry	Sulfate de magnésie	0	
orth	Sulfate de magnésie		
entry	Sulfate de potasse	0	
orth	Sulfate de potasse		
foreign	arcanum duplicatum	lat	
entry	Sulfate de soude	0	
orth	Sulfate de soude		
entry	Sulfate de zinc	0	
orth	Sulfate de zinc		
entry	Sulfite	0	
orth	Sulfite		
entry	Sulfite de potasse	0	
orth	Sulfite de potasse		
entry	Sulfures	0	
orth	Sulfures		
entry	Sulfures alcalins	0	
orth	Sulfures alcalins		
entry	Sulfure ammoniacal	0	
orth	Sulfure ammoniacal		
entry	Sulfure alcalin antimonié	0	
orth	Sulfure alcalin antimonié		
entry	Sulfure d’antimoine	0	
orth	Sulfure d’antimoine		
entry	Sulfure calcaire, sulfure de chaux	0	
orth	Sulfure calcaire		
orth	sulfure de chaux		
entry	Sulfure d’antimoine avec le mercure	0	
orth	Sulfure d’antimoine avec le mercure		
entry	Sulfure d’huile fixe, d’huile volatile	0	
orth	Sulfure d’huile fixe, d’huile volatile		
entry	Sulfure de rnercure noir	0	
orth	Sulfure de rnercure noir		
entry	Sulfilrc de mercure rouge	0	
orth	Sulfilrc de mercure rouge		
entry	Sulfure métallique	0	
orth	Sulfure métallique		
entry	Sulfure de soude	0	
orth	Sulfure de soude		
entry	Sulfure hydro-sulfuré	0	
orth	Sulfure hydro-sulfuré		
entry	Sulfure de magnésie	0	
orth	Sulfure de magnésie		
entry	Sulfure de potasse antimonié	0	
orth	Sulfure de potasse antimonié		
entry	Sulfures	0	
orth	Sulfures		
entry	Tartre	0	
orth	Tartre		
entry	Tartrite	0	
orth	Tartrite		
entry	Tartrite, acidnle d’ammoniaque	0	
orth	Tartrite		
orth	acidnle d’ammoniaque		
entry	Tartrite acidule de potasse	0	
orth	Tartrite acidule de potasse		
entry	Tartrite de mercure	0	
orth	Tartrite de mercure		
entry	Tartrite de potasse et de fer	0	
