object			
volume	27898	Littré-Gilbert (21e éd.)	1908
orth	Cholérique		
entry	Cholérique	0	
orth	Cholérique		
entry	Cholerragie	0	
orth	Cholerragie		
entry	Cholesteatome	0	
orth	Cholesteatome		
entry	Cholestérate	0	
orth	Cholestérate		
entry	Cholestérémie, Cholestérhémie	0	
orth	Cholestérémie		
orth	Cholestérhémie		
entry	Cholestérine, Cholestéarine	0	
orth	Cholestérine		
orth	Cholestéarine		
term	Alcool cholestérique		
entry	Cholestérique	0	
orth	Cholestérique		
term	Acide cholestérique		
entry	Cholestéritis	0	
orth	Cholestéritis		
entry	Cholestérone, Cholestérylène	1	
orth	Cholestérone		
orth	Cholestérylène		
pb	312	0322	
entry	Cholétéline	0	
orth	Cholétéline		
entry	Cholhémie	0	
orth	Cholhémie		
entry	Choline	0	
orth	Choline		
entry	Cholinique	0	
orth	Cholinique		
term	Acide cholinique		
entry	Cholique	0	
orth	Cholique		
entry	Cholohématine	0	
orth	Cholohématine		
entry	Choloïdanique	0	
orth	Choloïdanique		
term	Acide choloïdanique		
entry	Choloïdique	0	
orth	Choloïdique		
term	Acide choloïdique		
entry	Cholonique	0	
orth	Cholonique		
term	Acide cholanique		
clique	Acide cholanique		
entry	Cholorrhée	0	
orth	Cholorrhée		
entry	Choloses	0	
orth	Choloses		
term	Cholose américaine		
entry	Cholostégnose	0	
orth	Cholostégnose		
entry	Cholurie	0	
orth	Cholurie		
entry	Chondrarthrocace	0	
orth	Chondrarthrocace		
entry	Chondrification	0	
orth	Chondrification		
entry	Chondrigène, Chondrogène	0	
orth	Chondrigène		
orth	Chondrogène		
entry	Chondrine	0	
orth	Chondrine		
entry	Chondrinogène	0	
orth	Chondrinogène		
entry	Chondrite	0	
orth	Chondrite		
entry	Chondrocèle	0	
orth	Chondrocèle		
entry	Chondro-costal	0	
orth	Chondro-costal		
entry	Chondrogenèse	0	
orth	Chondrogenèse		
entry	Chondroglosse	0	
orth	Chondroglosse		
term	Muscle chondroglosse		
entry	Chondroglycose	0	
orth	Chondroglycose		
foreign	acide chondroïtiqué	lat	
entry	Chondrographie	0	
orth	Chondrographie		
entry	Chondroïde	0	
orth	Chondroïde		
term	Tissu chondroïde normal		
term	Tumeur chondroïde		
entry	Chondrologie	0	
orth	Chondrologie		
entry	Chondromalacie	0	
orth	Chondromalacie		
entry	Chondrome	1	
orth	Chondrome		
pb	313	0323	
entry	Chondrophyte	0	
orth	Chondrophyte		
entry	Chondroplaste	0	
orth	Chondroplaste		
entry	Chondro-sarcome	0	
orth	Chondro-sarcome		
entry	Chondrose	0	
orth	Chondrose		
entry	Chondrostéen	0	
orth	Chondrostéen		
entry	Chondro-sternal	0	
orth	Chondro-sternal		
entry	Chondrotomie	0	
orth	Chondrotomie		
entry	Chopart, Iii	0	
orth	Chopart		
orth	Iii		
term	Opération de Choparl		
clique	Opération de Choparl | Mémo-tarsienne		
entry	Chordadoralis	0	
orth	Chordadoralis		
clique	Notocorde		
entry	Chordapse	0	
orth	Chordapse		
entry	Chordite	0	
orth	Chordite		
entry	Chorée	2	
orth	Chorée		
term	danse de Saint-Guy ou Saint-Wyl		
pb	314	0324	
term	Chorée électrique ou myoclonie		
term	Chorée chronique		
term	Chorée		
term	danse de Saint-Guy épidémique		
term	Chorée des femmes enceintes		
term	chorée de la grossesse		
term	chorée gravidique		
term	Chorée fibrillaire		
pb	315	0325	
term	Chorée héréditaire		
term	chorée chronique		
term	chorée des vieillards		
term	chorée de Huntington		
term	Chorée hystérique		
term	Chorée molle		
term	chorée paralytique		
term	Chorée rythmée		
term	Chorées symptomatiques		
entry	Choréiforme	0	
orth	Choréiforme		
term	Mouvements ehoréiformes		
clique	Mouvements ehoréiformes | Aaitotaxie		
entry	Choréique	0	
orth	Choréique		
entry	Choréique	0	
orth	Choréique		
entry	Chorémanie	0	
orth	Chorémanie		
entry	Chorial	0	
orth	Chorial		
term	Villosités choriales		
entry	Chorio-allantoïdien	0	
orth	Chorio-allantoïdien		
term	Parenchyme chorio-allantoïdlén		
entry	Chorion	0	
orth	Chorion		
entry	Chorionitis	0	
orth	Chorionitis		
entry	Choroïde	1	
orth	Choroïde		
term	Membrane choroïde		
pb	316	0326	
term	Plexus choroïdes		
entry	Choroïdien	0	
orth	Choroïdien		
term	Artère choroïdienne		
term	Sinus choroïdien		
term	Toile choroïdienne		
term	Veine choroïdienne		
entry	Choroïdite	0	
orth	Choroïdite		
term	Choroïdite atrophique		
term	Choroïdite congestive		
term	Choroïdite disséminée		
term	Choroïdite exsudative		
term	Choroïdite		
term	Choroïdite purulente		
entry	Choroïdo-capillaire	0	
orth	Choroïdo-capillaire		
term	Membrane choroïdo-capillaire		
clique	Membrane choroïdo-capillaire | Choroïde		
pb	317	0327	
entry	Chose	0	
orth	Chose		
entry	Chou	0	
orth	Chou		
term	Chou caraïbe		
term	Chou marin		
term	Choupalmiste		
entry	Chouan	0	
orth	Chouan		
entry	Choucroute	0	
orth	Choucroute		
term	Chou		
entry	Chou-fleur	0	
orth	Chou-fleur		
term	Ostéophyte en chou-fleur		
entry	Choulen, Choulin	0	
orth	Choulen		
orth	Choulin		
entry	Chromaphtise	0	
orth	Chromaphtise		
entry	Chromate	0	
orth	Chromate		
term	Chromate de plomb		
term	Chromates de potasse		
entry	Chromateur	0	
orth	Chromateur		
entry	Chromatie	1	
orth	Chromatie		
pb	318	0328	
entry	Chromatine	0	
orth	Chromatine		
entry	Chromatique	0	
orth	Chromatique		
term	Dyschromatopsie chromatique		
term	Étoile chromatique		
term	Substance chromatique		
entry	Chromatodysopsie	0	
orth	Chromatodysopsie		
entry	Chromatogène	0	
orth	Chromatogène		
entry	Chromatolyse	0	
orth	Chromatolyse		
clique	Chromatine		
entry	Chromatométablepsie	0	
orth	Chromatométablepsie		
entry	Chromatomètre	0	
orth	Chromatomètre		
entry	Chromatophore	0	
orth	Chromatophore		
entry	Chromatopseudopsie	0	
orth	Chromatopseudopsie		
entry	Chromatoscopie	0	
orth	Chromatoscopie		
clique	Contraste		
clique	Dyschromatopsie		
entry	Chromaturie	0	
orth	Chromaturie		
entry	Chrome	0	
orth	Chrome		
entry	Chromhidrose	0	
orth	Chromhidrose		
clique	Chromidrose		
entry	Chromidrose	1	
orth	Chromidrose		
pb	319	0329	
entry	Chromique	0	
orth	Chromique		
term	Acide ou mieux anhydride chromique		
entry	Chromite	0	
orth	Chromite		
entry	Chromoblaste	0	
orth	Chromoblaste		
entry	Chromogène	0	
orth	Chromogène		
term	Bactéries chromogènes		
clique	Bactéries chromogènes | Bactérie		
term	Substance chromogène		
clique	Substance chromogène | Bleu | Bleu de méthylène		
entry	Chromomètre	0	
orth	Chromomètre		
entry	Chromométrie	0	
orth	Chromométrie		
entry	Chromophile	0	
orth	Chromophile		
term	Substance chromophile, grumeaux ou grains chromophiles		
clique	Substance chromophile, grumeaux ou grains chromophiles		
entry	Chromophïllyse	0	
orth	Chromophïllyse		
entry	Chromopsie	0	
orth	Chromopsie		
entry	Chromoptomètre	0	
orth	Chromoptomètre		
entry	Chromosome	0	
orth	Chromosome		
entry	Chronicité	0	
orth	Chronicité		
entry	Chronique	0	
orth	Chronique		
entry	Chronizoïque	1	
orth	Chronizoïque		
pb	320	0330	
entry	Chronographe	0	
orth	Chronographe		
clique	Signal		
entry	Chronographie	0	
orth	Chronographie		
entry	Chronogynée	0	
orth	Chronogynée		
entry	Chronologie	0	
orth	Chronologie		
term	Chronologie anthropologique, paléonlologique ou préhistorique		
clique	Chronologie anthropologique, paléonlologique ou préhistorique		
term	Chronologie médicale		
clique	Chronologie médicale		
entry	Chronophotographie	0	
orth	Chronophotographie		
entry	Chronoscope	0	
orth	Chronoscope		
entry	Chrysammique, Chrysamminique	0	
orth	Chrysammique		
orth	Chrysamminique		
term	Acide chrysammique hydraté		
entry	Chrysarobine	0	
orth	Chrysarobine		
clique	Poudre de goa		
entry	Chryside	0	
orth	Chryside		
entry	Chrysine	0	
orth	Chrysine		
clique	Chrysinique		
entry	Chrysinique	0	
orth	Chrysinique		
term	Acide chrysinique		
clique	Acide chrysinique		
entry	Chrysolépique	0	
orth	Chrysolépique		
entry	Chrysopée	0	
orth	Chrysopée		
entry	Chrysophane	0	
orth	Chrysophane		
entry	Chrysophanine	0	
orth	Chrysophanine		
clique	Séné		
entry	Chrysophanique	0	
orth	Chrysophanique		
entry	Chrysops	0	
orth	Chrysops		
entry	Chrysorhamnine	1	
orth	Chrysorhamnine		
pb	321	0331	
entry	Chrysulée	0	
orth	Chrysulée		
term	il eau régale		
entry	Chuchotement	0	
orth	Chuchotement		
entry	Chuline	0	
orth	Chuline		
entry	Chuperi	0	
orth	Chuperi		
entry	Churrus, Cherris	0	
orth	Churrus		
orth	Cherris		
entry	Churwalden	0	
orth	Churwalden		
term	Station de montagne		
clique	Station de montagne		
entry	Chute	0	
orth	Chute		
term	Chute du cordon ombilical		
term	Chute de la luette		
term	Chute de la paupière		
term	Chute du rectum		
term	Chute de l’utérus		
term	Chute du vagin		
entry	Chutwu	0	
orth	Chutwu		
entry	Chvostek	0	
orth	Chvostek		
term	Signe de Chvostek		
clique	Signe de Chvostek		
entry	Chyazique	0	
orth	Chyazique		
entry	Chylaire	0	
orth	Chylaire		
entry	Chyle	0	
orth	Chyle		
term	Pénétration du chyle		
term	Réservoir du chyle		
entry	Chyleux	0	
orth	Chyleux		
term	Absorption chyleuse		
term	Fluide chyleux		
term	Sang chyleux		
term	Urine chyleuse		
term	Vaisseau chyleux		
entry	Chylifère	1	
orth	Chylifère		
term	Vaisseaux chylifères		
pb	322	0332	
entry	Chylification	0	
orth	Chylification		
entry	Chylopoèse, Chylopoiès	0	
orth	Chylopoèse		
orth	Chylopoiès		
entry	Chylopoétique, Chylopoiétique	0	
orth	Chylopoétique		
orth	Chylopoiétique		
entry	Chylose	0	
orth	Chylose		
entry	Chylurie	0	
orth	Chylurie		
term	Chylurie endémique		
term	chylurie des pays chauds		
entry	Chyme	1	
orth	Chyme		
pb	323	0333	
entry	Chymie	0	
orth	Chymie		
entry	Chymification, Chymose	0	
orth	Chymification		
orth	Chymose		
entry	Chymosine	0	
orth	Chymosine		
entry	Chynlen	0	
orth	Chynlen		
entry	Cibation	0	
orth	Cibation		
entry	Ciboule	0	
orth	Ciboule		
entry	Ciboulette	0	
orth	Ciboulette		
entry	Cicatrice	0	
orth	Cicatrice		
term	Maladies des cicatrices		
term	Cicatrice difforme		
term	Cicatrice vicieuse		
entry	Cicatriciel	0	
orth	Cicatriciel		
term	Adhérences, brides, oblitération cicatricielles		
term	Chéloïde cicatricielle		
term	Tissu cicatriciel		
term	tissu de cicatrice		
entry	Cicatriculaire	0	
orth	Cicatriculaire		
term	Couche cicatriculaire ou granuleuse		
clique	Couche cicatriculaire ou granuleuse		
entry	Cicatricule	0	
orth	Cicatricule		
entry	Cicatrisant	0	
orth	Cicatrisant		
entry	Cicatrisants	0	
orth	Cicatrisants		
entry	Cicatrisation	1	
orth	Cicatrisation		
pb	324	0334	
term	Difformités par cicatrisation		
entry	Cicérole	0	
orth	Cicérole		
entry	Cicutaire	0	
orth	Cicutaire		
term	Cicutaire aquatique		
entry	Cicutène	0	
orth	Cicutène		
entry	Cicutin, Cicutine	0	
orth	Cicutin		
orth	Cicutine		
entry	Cidre	0	
orth	Cidre		
term	Cidre de poires		
entry	Cierge	0	
orth	Cierge		
term	cactus		
entry	Cigare	0	
orth	Cigare		
term	Cigare médicinal		
clique	Cigare médicinal		
term	Cigare opiacé		
clique	Cigare opiacé		
entry	Cigarette	0	
orth	Cigarette		
term	Cigarette médicinale		
term	Cigarette antiasthmatique		
term	Cigarette arsenicale		
term	Cigarette de belladone		
term	Cigarette mercurielle		
term	Cigarette pectorale et antiasthmatique d’Espic		
entry	Ciguë	1	
orth	Ciguë		
pb	325	0335	
term	Ciguë ou phellandrie aquatique		
term	Huile de ciguë		
entry	Cil	0	
orth	Cil		
term	Cils vibrantes		
entry	Ciliaire	2	
orth	Ciliaire		
pb	326	0336	
term	Artères ciliaires		
term	Canal ciliaire de Schlemm		
term	Corps ciliaire du cervelet		
term	Corps, ou mieux couronne ciliaire de la choroïde		
term	Muscle ciliaire		
term	Nerfs ciliaires ou iriens		
term	Procès ciliaires		
term	Procès ciliaires du corps vitré ou de la zone de Zinn		
term	Veines ciliaires		
pb	327	0337	
term	Blépharite ciliaire		
term	Ophtalmie ciliaire		
entry	Cilié	0	
orth	Cilié		
entry	Cilio-spinal	0	
orth	Cilio-spinal		
term	Centre cilio-spinal		
entry	Cillement	0	
orth	Cillement		
entry	Cillose	0	
orth	Cillose		
entry	Ciment	0	
orth	Ciment		
term	Ciment pour dents		
clique	Ciment pour dents | Obturation		
entry	Cimetière	0	
orth	Cimetière		
entry	Cimex	0	
orth	Cimex		
clique	Punaise		
entry	Cimicifugée	0	
orth	Cimicifugée		
entry	Cimicifugin	0	
orth	Cimicifugin		
entry	Cimicifugine	0	
orth	Cimicifugine		
entry	Cimicique	0	
orth	Cimicique		
term	Acide cimicique		
clique	Acide cimicique		
entry	Cimmole	0	
orth	Cimmole		
entry	Cimmyle	0	
orth	Cimmyle		
entry	Cimolée	0	
orth	Cimolée		
term	Terre cimolée		
entry	Cinabre	0	
orth	Cinabre		
term	Cinabre d’antimoine		
entry	Cinchocérotine	0	
orth	Cinchocérotine		
entry	Cinchol	0	
orth	Cinchol		
entry	Cincholine	0	
orth	Cincholine		
entry	Cinchonées	0	
orth	Cinchonées		
entry	Cinchonétine	0	
orth	Cinchonétine		
entry	Cinchonicine	0	
orth	Cinchonicine		
entry	Cinchonidine	0	
orth	Cinchonidine		
entry	Cinchonine	1	
orth	Cinchonine		
pb	328	0338	
term	Kinale de cinchonine		
entry	Cinchonique	0	
orth	Cinchonique		
term	Amer cinchonique		
term	Rouge cinchonique		
entry	Cinchotannique	0	
orth	Cinchotannique		
entry	Cinchoténine	0	
orth	Cinchoténine		
entry	Cinchotine	0	
orth	Cinchotine		
entry	Cinchovatine	0	
orth	Cinchovatine		
entry	Cinclïse	0	
orth	Cinclïse		
foreign	κγκλισις	grc	
entry	Cinération	0	
orth	Cinération		
entry	Cinèse	0	
orth	Cinèse		
entry	Cinésialgie	0	
orth	Cinésialgie		
entry	Cinésie	0	
orth	Cinésie		
entry	Cinésiologie	0	
orth	Cinésiologie		
entry	Cinésithérapie	0	
orth	Cinésithérapie		
entry	Cinétique	0	
orth	Cinétique		
term	Division cinétique		
clique	Division cinétique | Caryocinèse		
entry	Cinnamate	0	
orth	Cinnamate		
term	Cinnamate de cinnyle		
term	Cinnamate d’oxyde de slyryle		
term	Cinnamate de soude		
term	hétol		
entry	Cinnaméine	0	
orth	Cinnaméine		
entry	Cinnaméne, Cinnamine	0	
orth	Cinnaméne		
orth	Cinnamine		
entry	Cinnamique	0	
orth	Cinnamique		
term	Acide cinnamique		
term	Alcool cinnamique		
entry	Cinnamocinnamique	0	
orth	Cinnamocinnamique		
term	Éther cinnamocinnamique		
entry	Cinnamodendron	0	
orth	Cinnamodendron		
clique	Écorce		
entry	Cinnamol	0	
orth	Cinnamol		
entry	Cinnamome	0	
orth	Cinnamome		
entry	Cinnamomine	0	
orth	Cinnamomine		
entry	Cinnamomum	0	
orth	Cinnamomum		
clique	Cannelier		
entry	Cinnamyle	0	
orth	Cinnamyle		
entry	Cinnamyleugénol	0	
orth	Cinnamyleugénol		
entry	Cinnylique	0	
orth	Cinnylique		
term	Alcool cinnylique		
clique	Alcool cinnylique | Styrone		
entry	Cintré	0	
orth	Cintré		
term	Ligament cintré		
entry	Cionite	0	
orth	Cionite		
entry	Oionorraphie	0	
orth	Oionorraphie		
entry	Cionotome	0	
orth	Cionotome		
entry	Cionotomie	0	
orth	Cionotomie		
pb	329	0339	
entry	Cipipa	0	
orth	Cipipa		
entry	Circée	0	
orth	Circée		
entry	Circinal, Circiné	0	
orth	Circinal		
orth	Circiné		
term	Herpès circiné		
entry	Circoncision	0	
orth	Circoncision		
entry	Circonflexe	0	
orth	Circonflexe		
term	Artères circonflexes		
term	Nerf circonflexe		
term	Veines circonflexes		
entry	Circonscrit	0	
orth	Circonscrit		
term	Phlegmon circonscrit		
term	Tumeur circonscrite		
entry	Circonspection	0	
orth	Circonspection		
entry	Circonvolution	2	
orth	Circonvolution		
term	Circonvolutions ascendantes ou centrales		
pb	330	0340	
term	Circonvolution de Broca		
term	Circonvolution du coin		
term	Circonvolution du corps calleux		
term	Circonvolutions		
term	Circonvolution en crochet ou de la corne d Ammon		
term	Circonvolution descendante		
term	Circonvolutions frontales		
term	frontale		
term	talis superior		
term	deuxième circonvolution frontale		
term	Circonvolution fusiforme		
term	Circonvolution de l’hippocampe		
term	Cir		
term	convolutions de l’insula		
term	Circonvolutions oceipi		
term	taies		
term	Circonvolutions olf actives		
term	Circonvolutions orbitaires		
pb	331	0341	
term	Circonvolutions pariétales		
term	Circonvolution ou pli de passage		
term	Circonvolutions temporales		
term	Circonvolutions temporo-occipitales		
entry	Circuit	0	
orth	Circuit		
clique	Thermo-électrique		
entry	Circulaire	0	
orth	Circulaire		
term	Amputation circulaire		
term	Bandage circulaire		
term	Cautère circulaire		
term	Folie circulaire		
term	Sinus circulaire		
entry	Circulaire	0	
orth	Circulaire		
term	Circulaires du cordon		
entry	Circulation	2	
orth	Circulation		
term	Circulation		
pb	332	0342	
term	Circulation artérielle		
term	Circulation capillaire		
pb	333	0343	
term	Circulation cardiaque		
term	Circulation dérivative		
term	Circulation fœtale		
term	Circulation générale		
term	Circulation lacunaire		
term	Circulation locale		
term	Circulation lymphatique		
term	Circulation placentaire		
term	Circulation jndmonaire		
term	Circulation veineuse		
entry	Circulatoire	0	
orth	Circulatoire		
term	Angoisse circulatoire		
term	Appareil ou organe circulatoire		
term	Embarras circulatoire		
term	Gêne circulatoire		
entry	Circumduction	0	
orth	Circumduction		
entry	Circumfusa	0	
orth	Circumfusa		
entry	Circum-utérin	0	
orth	Circum-utérin		
entry	Cire	1	
orth	Cire		
term	Beurre de cire		
term	Emplâtre de cire		
term	Emplâtre de cire verte		
term	Huile de cire		
pb	334	0344	
term	Cire des Andaquies		
term	Cire vierge		
term	Cire de carnauba		
term	Cire de la Chine		
term	Cire du Japon		
term	Cire de myrica		
term	Cire de palme		
entry	Cireux	0	
orth	Cireux		
term	Dégénérescence cireuse		
entry	Cirillo	0	
orth	Cirillo		
term	Pommade de Cirillo		
entry	Ciroène, Cirouêne	0	
orth	Ciroène		
orth	Cirouêne		
entry	Cirrhonose	0	
orth	Cirrhonose		
entry	Cirrhose	2	
orth	Cirrhose		
term	Cirrhose du foie		
pb	335	0345	
term	Cirrhose		
term	Cirrhose		
term	Cirrhose		
term	Cirrhose atrophique alcoolique		
term	cirrhose atrophique de Laënnec		
term	maladie de Laënnec		
term	Cirrhose alcoolique hypertrophique		
term	Cirrhose biliaire		
pb	336	0346	
term	Cirrhose diffuse simple hypertrophique alcoolique		
term	cirrhose hypertrophique diffuse		
term	Cirrhose hypertrophique biliaire		
term	maladie de Hanot		
term	Cirrhose du poumon		
term	Cirrhose de la rate		
term	Cirrhose du rein		
entry	Cirsocèle	0	
orth	Cirsocèle		
entry	Cirsoïde	0	
orth	Cirsoïde		
entry	Cirsomphale	0	
orth	Cirsomphale		
entry	Cirsophtalmie	0	
orth	Cirsophtalmie		
foreign	cirsophthalmia	lat	
entry	Cirsotomie	0	
orth	Cirsotomie		
entry	Cisaille	0	
orth	Cisaille		
term	Cisailles de Liston		
entry	Ciseau	0	
orth	Ciseau		
entry	Ciseaux	0	
orth	Ciseaux		
entry	Cissampéline	0	
orth	Cissampéline		
entry	Cissampelos	0	
orth	Cissampelos		
clique	Pareira		
entry	Ciste	0	
orth	Ciste		
entry	Citerne	1	
orth	Citerne		
pb	337	0347	
entry	Citral	0	
orth	Citral		
entry	Citrate	0	
orth	Citrate		
term	Citrate d’argent		
term	itrol		
term	Citrate de caféine		
term	Citrate de fer		
term	Citrate de fer ammoniacal		
term	Citrate de lithine		
term	Citrate de magnésie		
term	Citrate de soude		
entry	Citréne	0	
orth	Citréne		
term	essence de citron		
clique	essence de citron | Essence		
entry	Citrin	0	
orth	Citrin		
term	Cafe citrin		
term	Myrobalan citrin		
term	Onguent citrin, pommade citrine		
entry	Citrique	0	
orth	Citrique		
term	Acide citrique		
entry	Citron	0	
orth	Citron		
term	Alcoolat de citron		
term	Essence de citron		
term	Jus ou suc de citron		
term	Limonade de citron		
term	Oléosaccharure de citron		
term	Sirop de citron		
entry	Citronné	0	
orth	Citronné		
entry	Citronnelle	0	
orth	Citronnelle		
entry	Citronnier	0	
orth	Citronnier		
entry	Citronyle, Citryle	0	
orth	Citronyle		
orth	Citryle		
entry	Citrophène	0	
orth	Citrophène		
entry	Citrouille	0	
orth	Citrouille		
entry	Citta	0	
orth	Citta		
entry	Civette	0	
orth	Civette		
entry	Civette	0	
orth	Civette		
term	Pince de Civiale		
entry	Civière	0	
orth	Civière		
clique	Secours publics | Secours		
entry	Civillina	0	
orth	Civillina		
entry	Civita-Vecchia	0	
orth	Civita-Vecchia		
entry	Cladospore	0	
orth	Cladospore		
entry	Cladothrix	1	
orth	Cladothrix		
pb	338	0348	
term	Cladothrij		
clique	Cladothrij		
term	Cladothrix astéroïdes		
clique	Cladothrix astéroïdes		
term	Cladothrix Försteri		
clique	Cladothrix Försteri		
entry	Clair	0	
orth	Clair		
term	Liquide clair		
term	Œuf clair		
term	Timbre clair		
entry	Clairvoyance	0	
orth	Clairvoyance		
entry	Clamp	0	
orth	Clamp		
entry	Clapier	0	
orth	Clapier		
entry	Clapotage, Clapotement	0	
orth	Clapotage		
orth	Clapotement		
term	Bruit de clapotement		
clique	Bruit de clapotement		
entry	Claquement	0	
orth	Claquement		
term	Claquement valvulaire		
entry	Clarke	0	
orth	Clarke		
term	Colonne de Clarke		
clique	Colonne de Clarke | Colonne		
entry	Clarification	0	
orth	Clarification		
entry	Clasmatocyte	1	
orth	Clasmatocyte		
pb	339	0349	
clique	Clasmatose		
entry	Clasmatose	0	
orth	Clasmatose		
entry	Classe	0	
orth	Classe		
entry	Classement	0	
orth	Classement		
term	Loi de classement		
entry	Classification	0	
orth	Classification		
term	sicatoria		
term	Classification artificielle		
term	Classification naturelle		
entry	Clastique	0	
orth	Clastique		
term	Anatomie élastique		
entry	Claudication	0	
orth	Claudication		
term	Claudication intermittente ou ischémique		
term	Claudication d’un organe		
entry	Claustrophobie	0	
orth	Claustrophobie		
entry	Clavaire	0	
orth	Clavaire		
entry	Clavalier	0	
orth	Clavalier		
term	Clavalier jaune		
term	bois épineux jaune		
entry	Clavariés	0	
orth	Clavariés		
entry	Claveau	0	
orth	Claveau		
entry	Clavée	0	
orth	Clavée		
entry	Clavelée	1	
orth	Clavelée		
foreign	Schafblattern	deu	
foreign	scab	eng	
foreign	rot	eng	
foreign	fuoco di Santo Antonio	ita	
foreign	morrina	spa	
pb	340	0350	
clique	Clavelisation		
entry	Claveleux	0	
orth	Claveleux		
term	Virus claveleux		
entry	Clavelisation	0	
orth	Clavelisation		
entry	Claviceps	0	
orth	Claviceps		
clique	Ergot		
entry	Claviculaire	0	
orth	Claviculaire		
entry	Clavicule	0	
orth	Clavicule		
term	Capeline de la clavicule		
entry	Claviculé	0	
orth	Claviculé		
term	Animaux clavicules		
entry	Claviforme	0	
orth	Claviforme		
entry	Clavi-sternal	0	
orth	Clavi-sternal		
term	Os clavi-sternal		
entry	Clef	0	
orth	Clef		
term	Clef de forceps		
term	Clef de Garengeot		
term	Clef du trépan		
entry	Cléi	0	
orth	Cléi		
clique	Cli		
entry	Clématine	0	
orth	Clématine		
entry	Clématite	0	
orth	Clématite		
term	Geniede		
term	Clématite		
entry	Clermont-Ferrand	0	
orth	Clermont-Ferrand		
entry	Clidarthrocace, Cléidarthrocace	0	
orth	Clidarthrocace		
orth	Cléidarthrocace		
entry	Clido-costal, Cléido-costal	0	
orth	Clido-costal		
orth	Cléido-costal		
entry	Clidorrhexis, Cléidorrhexis	1	
orth	Clidorrhexis		
orth	Cléidorrhexis		
pb	341	0351	
entry	Clido-scapulaire, Cléido-scapulaire	0	
orth	Clido-scapulaire		
orth	Cléido-scapulaire		
entry	Clidotomie, Cléidotomie	0	
orth	Clidotomie		
orth	Cléidotomie		
entry	Clientèle	0	
orth	Clientèle		
term	Clientèle médicale		
clique	Clientèle médicale		
entry	Clifton	0	
orth	Clifton		
entry	Clifton Springs	0	
orth	Clifton Springs		
entry	Clignement	0	
orth	Clignement		
entry	Clignotant	0	
orth	Clignotant		
entry	Clignotement	0	
orth	Clignotement		
entry	Climat	1	
orth	Climat		
term	Climats froids		
term	Climats tempères		
term	Climat d’altitude		
term	Climat maritime		
term	Climat de montagne		
pb	342	0352	
term	Climat de plaine		
entry	Climatérique	0	
orth	Climatérique		
entry	Climatologie	0	
orth	Climatologie		
entry	Climatothérapie	0	
orth	Climatothérapie		
clique	Climat		
entry	Clinicien	0	
orth	Clinicien		
entry	Clinique	0	
orth	Clinique		
term	Caractères cliniques		
term	Leçon clinique		
term	Médecine et chirurgie cliniques		
entry	Clinique	0	
orth	Clinique		
entry	Clinocéphalie	0	
orth	Clinocéphalie		
entry	Clinodactylie	0	
orth	Clinodactylie		
entry	Clinoïde	0	
orth	Clinoïde		
term	Apophyses		
entry	Clinothérapie	0	
orth	Clinothérapie		
entry	Cliquetis	0	
orth	Cliquetis		
term	Bruit de cliquetis métallique		
entry	Clisagre, Cléisagre	0	
orth	Clisagre		
orth	Cléisagre		
entry	Cliséomètre	0	
orth	Cliséomètre		
entry	Clitore	0	
orth	Clitore		
foreign	Clitoria ternatea (L.)	lat	
entry	Clitoridectomie	1	
orth	Clitoridectomie		
pb	343	0353	
entry	Clitoridien	0	
orth	Clitoridien		
term	Artère cliloridienne		
term	Nerf clitoridien		
entry	Clitoris	0	
orth	Clitoris		
entry	Clitorisme	0	
orth	Clitorisme		
entry	Clitorismie	0	
orth	Clitorismie		
entry	Clitoritomie	0	
orth	Clitoritomie		
clique	Nymphotomie		
entry	Clivus	0	
orth	Clivus		
foreign	Clivus Blumenbachii	lat	
entry	Cloaque	0	
orth	Cloaque		
entry	Cloche	0	
orth	Cloche		
entry	Cloison	0	
orth	Cloison		
term	Cloison fibro-celluleuse du canal crural		
term	Cloison interauriculaire		
term	Cloison interventriculaire		
term	Cloison recto-vaginale		
term	Cloison recto-vésicale		
term	Cloison transparente		
term	Cloison des fosses nasales		
term	Cloison des sinus frontaux et des sinus sphénoïdaux		
entry	Cloisonnement	0	
orth	Cloisonnement		
term	Anomalie par cloisonnement		
term	Cloisonnement des cellules		
entry	Clonique	0	
orth	Clonique		
term	Convulsion clonique		
entry	Clonisme	0	
orth	Clonisme		
term	Clonisme de là main, du pied		
entry	Clonus	0	
orth	Clonus		
term	Clonus du pied		
clique	Clonus du pied		
term	Clonus de la main		
clique	Clonus de la main		
entry	Clopémanie	0	
orth	Clopémanie		
entry	Cloporte	0	
orth	Cloporte		
entry	Cloquet	0	
orth	Cloquet		
term	Hernie de Cloquet		
clique	Hernie de Cloquet		
entry	Clou	1	
orth	Clou		
term	Clou de girofle		
term	Clou matrice		
term	Clou ou bouton de Biskra ou de Delhi		
term	Clou hystérique		
pb	344	0354	
term	Clou phtisique		
term	Clou de Scarpa		
entry	Clunésie	0	
orth	Clunésie		
entry	Clysoir	0	
orth	Clysoir		
entry	Clysopompe	0	
orth	Clysopompe		
entry	Clystère	0	
orth	Clystère		
entry	Cnicin, Cnicine	0	
orth	Cnicin		
orth	Cnicine		
entry	Cnide	0	
orth	Cnide		
entry	Cnidose	0	
orth	Cnidose		
entry	Cniquieb	0	
orth	Cniquieb		
clique	Boxdcc		
entry	Coagulabilité	0	
orth	Coagulabilité		
entry	Coagulable	0	
