page	refimg	chapitre
[sans numérotation]	0001	[Page de faux-titre]
[sans numérotation]	0002	Ouvrages du même auteur
[sans numérotation]	0003	[Page de titre]
[page blanche]	0004	
V	0005	Préface [Galtier-Boissière]
VI	0006	Préface [Galtier-Boissière]
[sans numérotation]	0007	Liste des auteurs d'articles
[sans numérotation]	0008	A ma fille Suzanne Galtier-Boissière, infirmière à l'hôpital Villemin 33. Janvier 1915-1916-1917-19...
1	0009	Acromyohypertonie / Agar-Agar / Alcool / Alibour (Eau d') / Ambulances / Amputés et mutilés (rééducation des)
2	0010	Amputés et mutilés (rééducation des)
Tableau I	0011	Amputés et mutilés (rééducation des)
4	0012	Amputés et mutilés (rééducation des)
Tableau II	0013	Amputés et mutilés (rééducation des)
6	0014	Amputés et mutilés (rééducation des)
7	0015	Amputés et mutilés (rééducation des)
8	0016	Amputés et mutilés (rééducation des)
Tableau III	0017	Amputés et mutilés (rééducation des)
10	0018	Amputés et mutilés (rééducation des)
11	0019	Amputés et mutilés (rééducation des) / Anesthésie
12	0020	Anesthésie / Angoisse de guerre / Ankylose / Appendicite / Aptitude militaire
13	0021	Aptitude militaire / Arthrodynamomètre
14	0022	Arthrodynamomètre
15	0023	Arthrodynamomètre / Attelles (nouveaux modèles) / Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
16	0024	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
17	0025	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
18	0026	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
19	0027	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
20	0028	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
21	0029	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
22	0030	Audition (perte de l'). Rééducation [H. Marichelle, L. Dupuis, V. Hervaux]
