page	refimg	numauto	chapitre
[sans numérotation]	0001	4503237	[Page de faux-titre]
[sans numérotation]	0002	4503238	
[sans numérotation]	0003	4503239	[Page de titre]
[page blanche]	0004	4503240	
1	0005	4503241	Astragale (Botanique) [H. Baillon]
2	0006	4503242	Astragale (Botanique) [H. Baillon]
3	0007	4503243	Astragale (Botanique) [H. Baillon] (bibliographie) / Astragale / Anatomie [Léon Labbé]
4	0008	4503244	Astragale. Anatomie [Léon Labbé]
5	0009	4503245	Astragale / Pathologie [Léon Labbé]
6	0010	4503246	Astragale. Pathologie [Léon Labbé]
7	0011	4503247	Astragale. Pathologie [Léon Labbé]
8	0012	4503248	Astragale. Pathologie [Léon Labbé]
9	0013	4503249	Astragale. Pathologie [Léon Labbé]
10	0014	4503250	Astragale. Pathologie [Léon Labbé]
11	0015	4503251	Astragale. Pathologie [Léon Labbé]
12	0016	4503252	Astragale. Pathologie [Léon Labbé]
13	0017	4503253	Astragale. Pathologie [Léon Labbé]
14	0018	4503254	Astragale. Pathologie [Léon Labbé]
15	0019	4503255	Astragale. Pathologie [Léon Labbé] (bibliographie)
16	0020	4503256	Astrantie. Voy. Epipactis et Hellébore noir / Astringents (Médicaments) [J. Delioux de Savignac]
17	0021	4503257	Astringents (Médicaments) [J. Delioux de Savignac]
18	0022	4503258	Astringents (Médicaments) [J. Delioux de Savignac]
19	0023	4503259	Astringents (Médicaments) [J. Delioux de Savignac]
20	0024	4503260	Astringents (Médicaments) [J. Delioux de Savignac]
21	0025	4503261	Astringents (Médicaments) [J. Delioux de Savignac]
22	0026	4503262	Astringents (Médicaments) [J. Delioux de Savignac]
23	0027	4503263	Astringents (Médicaments) [J. Delioux de Savignac]
24	0028	4503264	Astringents (Médicaments) [J. Delioux de Savignac]
25	0029	4503265	Astringents (Médicaments) [J. Delioux de Savignac]
26	0030	4503266	Astringents (Médicaments) [J. Delioux de Savignac] (bibliographie) / Astrologie [A. Chéreau]
27	0031	4503267	Astrologie [A. Chéreau]
28	0032	4503268	Astrologie [A. Chéreau]
