object	
volume	37020d_index	Littré-Robin (1865-1873)	1873
pb	1707	https://www.biusante.parisdescartes.fr/iiif/2/bibnum:37020d:1721/full/full/0/default.jpg	https://www.biusante.parisdescartes.fr/histmed/medica/page?37020d&p=1721
entry	Abaptiston	1707		0
orth	Abaptiston	lat
foreign	fra	abaptiste (trépan)
entry	Abdomen	1707		0
orth	Abdomen	lat
foreign	fra	abdomen
entry	Abductio	1707		0
orth	Abductio	lat
foreign	fra	abduction
entry	Abductor	1707		0
orth	Abductor	lat
foreign	fra	abducteur
entry	Abies	1707		0
orth	Abies	lat
foreign	fra	sapin
entry	Ablactatio	1707		0
orth	Ablactatio	lat
foreign	fra	ablactation
entry	Abluens	1707		0
orth	Abluens	lat
foreign	fra	abluent
entry	Ablutio	1707		0
orth	Ablutio	lat
foreign	fra	ablution
foreign	fra	lotion
entry	Abomasus	1707		0
orth	Abomasus	lat
foreign	fra	caillette
entry	Abortio	1707		0
orth	Abortio	lat
foreign	fra	avortement
entry	Abortivus	1707		0
orth	Abortivus	lat
foreign	fra	avorton
foreign	fra	abortif
entry	Abortus	1707		0
orth	Abortus	lat
foreign	fra	avortement
entry	Abrasio	1707		0
orth	Abrasio	lat
foreign	fra	abrasion
entry	Abrotonum, abrotonus	1707		0
orth	Abrotonum	lat
orth	abrotonus	lat
foreign	fra	aurone
entry	Abruptio	1707		0
orth	Abruptio	lat
foreign	fra	abruption
entry	Abscessus	1707		0
orth	Abscessus	lat
foreign	fra	abcès
entry	Abscissio	1707		0
orth	Abscissio	lat
foreign	fra	excision
entry	Absinthium	1707		0
orth	Absinthium	lat
foreign	fra	absinthe
entry	Absorbens	1707		0
orth	Absorbens	lat
foreign	fra	absorbant
entry	Absorbere	1707		0
orth	Absorbere	lat
foreign	fra	absorber
entry	Abstemius	1707		0
orth	Abstemius	lat
foreign	fra	abstème
entry	Abstergens	1707		0
orth	Abstergens	lat
foreign	fra	abstergent
foreign	fra	détersif
entry	Abstinentia	1707		0
orth	Abstinentia	lat
foreign	fra	abstinence
entry	Acantha	1707		0
orth	Acantha	lat
foreign	fra	épine
entry	Acanthus	1707		0
orth	Acanthus	lat
foreign	fra	acanthe
entry	Acarus	1707		0
orth	Acarus	lat
foreign	fra	acarus
foreign	fra	ciron
entry	Acarus scabiei, Acarus subcutaneus	1707		0
orth	Acarus scabiei	lat
orth	Acarus subcutaneus	lat
foreign	fra	ciron de la gale
entry	Acataposis	1707		0
orth	Acataposis	lat
foreign	fra	impossibilité d’avaler
entry	Acceleratio	1707		0
orth	Acceleratio	lat
foreign	fra	accélération
entry	Accelerator	1707		0
orth	Accelerator	lat
foreign	fra	accélérateur
entry	Accessio	1707		0
orth	Accessio	lat
foreign	fra	accès
entry	Accessorius	1707		0
orth	Accessorius	lat
foreign	fra	accessoire
entry	Accidens	1707		0
orth	Accidens	lat
foreign	fra	accident
entry	Accipiter	1707		0
orth	Accipiter	lat
foreign	fra	épervier
entry	Acephalus	1707		0
orth	Acephalus	lat
foreign	fra	acéphale
entry	Acer	1707		0
orth	Acer	lat
foreign	fra	érable
entry	Acer	1707		0
orth	Acer	lat
foreign	fra	âcre
entry	Acerbitas, acerbitudo	1707		0
orth	Acerbitas	lat
orth	acerbitudo	lat
foreign	fra	âcreté
entry	Acerbus	1707		0
orth	Acerbus	lat
foreign	fra	acerbe
foreign	fra	aigre
foreign	fra	âpre
entry	Acescens	1707		0
orth	Acescens	lat
foreign	fra	acescent
entry	Acetabulum	1707		0
orth	Acetabulum	lat
foreign	fra	cotyle [mesure)
foreign	fra	cavité
entry	Acetum	1707		0
orth	Acetum	lat
foreign	fra	vinaigre
entry	Achillis chorda	1707		0
orth	Achillis chorda	lat
foreign	fra	tendon d’Achille
entry	Achor	1707		0
orth	Achor	lat
foreign	fra	achor
entry	Achromaticus	1707		0
orth	Achromaticus	lat
foreign	fra	achromatique
entry	Acidulus	1707		0
orth	Acidulus	lat
foreign	fra	acidule
entry	Acidus	1707		0
orth	Acidus	lat
foreign	fra	acide
entry	Acies vespertina (Fel. Plater)	1707		0
orth	Acies vespertina (Fel. Plater)	lat
foreign	fra	nyctalopie
entry	Acinaciformis	1707		0
orth	Acinaciformis	lat
foreign	fra	en forme de cimeterre
entry	Acinesia	1707		0
orth	Acinesia	lat
foreign	fra	acinésie
entry	Acinosa tunica	1707		0
orth	Acinosa tunica	lat
foreign	fra	l’uvée
entry	Acinus	1707		0
orth	Acinus	lat
foreign	fra	grain
foreign	fra	acinus
entry	Acipenser	1707		0
orth	Acipenser	lat
foreign	fra	esturgeon
entry	Acmastica febris	1707		0
orth	Acmastica febris	lat
foreign	fra	fièvre synoque
entry	Acme	1707		0
orth	Acme	lat
foreign	fra	summum d’une maladie
entry	Acologia	1707		0
orth	Acologia	lat
foreign	fra	doctrine des remèdes
entry	Aconitum	1707		0
orth	Aconitum	lat
foreign	fra	aconit
entry	Acopa	1707		0
orth	Acopa	lat
foreign	fra	remèdes qui raniment les forces
entry	Acor	1707		0
orth	Acor	lat
foreign	fra	aigreur
